Metric,Value
TP,260.0
TN,81.0
FP,41.0
FN,39.0
Prevalence,0.7149643705463183
PPV,0.8637873754152824
NPV,0.675
Sensitivity,0.8695652173913043
Specificity,0.6639344262295082
FPR,0.3360655737704918
FNR,0.13043478260869565
Accuracy,0.8099762470308789
